School,Conference,BA,OBP,SLG,OPS,R,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,teamid,conference_id
Adrian,Michigan Intercol. Ath. Assn.,0.319,0.416,0.484,0.8999999999999999,340,445,92,27,675,28,303,188,63,30,19,273,27,15,5,71,4,873
Albertus Magnus,Great Northeast,0.251,0.357,0.389,0.746,181,248,42,5,384,28,173,130,38,10,9,304,11,8,3,14,2798,23257
Albion,Michigan Intercol. Ath. Assn.,0.238,0.315,0.349,0.6639999999999999,189,304,60,6,445,23,171,106,44,15,8,295,20,13,4,40,15,873
Albright,MAC Commonwealth,0.215,0.316,0.291,0.607,126,237,39,6,321,11,109,130,37,8,8,309,23,17,5,28,16,28744
Alfred St.,AMCC,0.289,0.381,0.417,0.798,278,406,76,10,586,28,250,189,32,18,31,293,30,16,7,88,30170,30022
Allegheny,NCAC,0.319,0.396,0.459,0.855,276,398,78,17,573,21,243,141,40,33,17,250,24,25,9,85,19,897
Alma,Michigan Intercol. Ath. Assn.,0.259,0.364,0.388,0.752,213,325,72,7,486,25,193,149,70,20,18,298,31,8,8,14,21,873
Alvernia,MAC Commonwealth,0.277,0.358,0.392,0.75,274,405,74,20,573,18,242,144,55,26,40,269,24,22,3,44,938,28744
Amherst,NESCAC,0.292,0.377,0.403,0.78,244,347,66,8,480,17,220,138,36,19,6,234,27,6,2,56,24,12817
Anderson (IN),HCAC,0.297,0.384,0.476,0.86,274,419,76,17,670,47,255,159,49,14,22,304,30,21,13,54,939,9174
Anna Maria,Great Northeast,0.339,0.416,0.502,0.9179999999999999,289,439,89,15,651,31,256,121,61,16,9,253,20,15,4,61,26,23257
Arcadia,MAC Commonwealth,0.316,0.418,0.428,0.846,378,495,90,19,671,16,305,200,94,27,51,271,29,33,12,161,966,28744
Augsburg,MIAC,0.263,0.354,0.365,0.719,207,300,56,12,416,12,175,122,42,9,12,269,28,15,4,55,38,882
Augustana (IL),CCIW,0.286,0.424,0.397,0.821,381,443,83,13,615,21,329,270,123,32,39,324,29,13,3,56,40,836
Aurora,NACC,0.34,0.428,0.509,0.937,459,574,117,17,860,45,413,200,82,31,9,282,26,17,4,38,42,30097
Austin,SCAC,0.299,0.396,0.395,0.791,233,360,54,8,475,15,194,158,45,14,8,275,19,19,5,58,953,835
Averett,USA South,0.269,0.359,0.355,0.714,213,357,66,4,470,13,183,144,51,18,15,324,22,18,9,86,44,842
Babson,NEWMAC,0.284,0.387,0.391,0.778,260,378,55,8,521,24,214,180,57,19,17,265,30,21,7,60,45,890
Baldwin Wallace,OAC,0.338,0.433,0.551,0.984,484,601,128,16,980,73,450,226,89,22,25,273,37,20,9,78,46,901
Bard,Liberty League,0.278,0.387,0.39,0.777,220,284,61,10,398,11,177,139,51,15,15,225,15,16,10,113,962,24197
Baruch,CUNYAC,0.279,0.433,0.408,0.841,216,218,33,17,318,11,183,166,53,10,4,174,13,8,3,49,58,834
Bates,NESCAC,0.267,0.35,0.369,0.719,178,286,55,6,395,14,151,107,38,18,6,279,17,7,7,42,50,12817
Belhaven,ASC,0.269,0.371,0.366,0.737,288,380,69,6,518,19,247,185,59,21,12,353,22,21,7,99,30197,14825
Beloit,MWC,0.267,0.366,0.394,0.76,252,353,86,7,522,23,219,176,43,18,15,356,13,14,5,38,53,23119
Benedictine (IL),NACC,0.296,0.385,0.436,0.821,287,392,82,4,578,32,256,161,44,20,11,268,18,17,5,39,296,30097
Berea,USA South,0.237,0.345,0.341,0.6859999999999999,164,264,54,10,380,14,134,135,53,9,2,344,16,15,12,74,30171,842
Berry,SAA,0.335,0.416,0.46,0.876,364,487,81,20,668,20,309,166,52,24,27,230,25,17,3,95,973,30169
Bethany (WV),PAC,0.253,0.336,0.348,0.6839999999999999,205,302,56,12,415,11,181,123,37,19,20,228,17,15,2,74,59,907
Bethany Lutheran,UMAC,0.288,0.394,0.398,0.792,248,318,59,18,440,9,223,150,59,24,9,270,15,13,2,100,30038,30115
Bethel (MN),MIAC,0.336,0.421,0.491,0.9119999999999999,385,518,105,16,757,34,353,191,56,29,9,231,28,9,1,40,60,882
Birmingham-So.,SAA,0.341,0.442,0.539,0.9810000000000001,491,608,104,12,961,75,453,267,69,20,21,324,24,15,14,142,28593,30169
Blackburn,SLIAC,0.276,0.368,0.372,0.74,230,333,65,7,448,12,196,132,50,13,15,248,17,17,8,54,64,12974
Bluffton,HCAC,0.261,0.375,0.373,0.748,237,333,62,13,475,18,197,150,88,11,24,312,26,4,8,28,987,9174
Bowdoin,NESCAC,0.283,0.373,0.426,0.7989999999999999,229,335,65,10,504,28,203,125,53,14,4,255,17,12,2,43,69,12817
Brandeis,UAA,0.316,0.4,0.495,0.895,273,378,79,7,591,40,247,138,37,12,5,245,26,8,6,47,73,1471
Brevard,USA South,0.294,0.413,0.387,0.8,272,346,49,8,456,15,229,197,60,25,10,238,19,25,9,115,30094,842
Bridgewater (VA),ODAC,0.294,0.395,0.41,0.8049999999999999,314,445,79,15,620,22,269,200,70,24,27,276,24,12,3,49,75,903
Bridgewater St.,MASCAC,0.299,0.384,0.4,0.784,295,423,94,12,565,8,239,146,57,12,30,322,30,23,6,114,76,870
Buena Vista,American Rivers,0.308,0.408,0.456,0.864,343,447,105,16,662,26,309,190,70,20,16,317,24,12,9,51,84,864
CCNY,CUNYAC,0.282,0.387,0.374,0.761,172,271,47,6,360,10,149,128,44,10,15,252,16,10,4,29,480,834
CMSV,Skyline,0.328,0.427,0.458,0.885,330,452,83,18,631,20,280,174,77,20,28,270,28,26,11,77,451,13054
CWRU,UAA,0.266,0.355,0.37,0.725,244,370,68,13,515,17,206,169,35,22,9,288,24,18,6,57,122,1471
Cabrini,Atlantic East,0.307,0.431,0.499,0.9299999999999999,371,421,102,16,684,43,338,251,70,28,16,296,31,10,5,70,88,30233
Cairn,CSAC,0.274,0.397,0.407,0.804,328,364,83,14,541,22,280,232,50,17,9,316,9,17,13,107,1305,21062
Cal Lutheran,SCIAC,0.289,0.386,0.432,0.8180000000000001,347,458,109,14,685,30,309,188,76,22,12,319,27,21,8,69,105,910
Caltech,SCIAC,0.246,0.35,0.36,0.71,149,272,51,3,398,23,134,130,49,5,1,311,35,9,9,13,89,910
Calvin,Michigan Intercol. Ath. Assn.,0.306,0.375,0.425,0.8,273,397,86,7,551,18,235,115,39,19,16,205,18,16,3,37,114,873
Capital,OAC,0.264,0.376,0.353,0.729,224,326,62,3,436,14,187,192,39,13,10,317,30,26,5,53,117,901
Carleton,MIAC,0.276,0.348,0.359,0.707,165,291,47,8,378,8,147,83,41,14,25,195,20,10,3,31,118,882
Carroll (WI),CCIW,0.259,0.369,0.392,0.761,250,340,64,10,514,30,209,176,62,18,15,313,32,10,3,35,120,836
Carthage,CCIW,0.293,0.374,0.437,0.8109999999999999,246,391,77,7,584,34,226,149,36,20,12,293,35,8,4,23,121,836
Castleton,Little East,0.252,0.347,0.342,0.6890000000000001,176,263,57,5,357,9,147,127,33,14,16,299,19,16,10,39,123,867
Catholic,Landmark,0.3,0.404,0.48,0.884,425,518,104,18,829,57,370,270,51,29,15,366,38,7,5,65,124,30101
Cazenovia,NEAC,0.27,0.386,0.372,0.758,170,238,42,7,327,11,143,118,53,8,16,192,25,6,3,30,23624,30071
Centenary (LA),SCAC,0.324,0.411,0.45,0.861,378,521,80,26,722,23,319,177,75,23,33,265,34,30,5,86,125,835
Centenary (NJ),CSAC,0.301,0.387,0.432,0.819,226,365,78,16,523,16,190,128,49,12,23,206,27,17,6,40,12884,21062
Central (IA),American Rivers,0.292,0.384,0.42,0.804,249,368,71,12,529,22,210,134,63,14,9,296,42,24,5,34,126,864
Centre,SAA,0.277,0.386,0.38,0.766,276,381,64,12,523,18,238,195,60,18,34,290,15,18,8,63,132,30169
Chapman,SCIAC,0.33,0.417,0.514,0.931,402,569,129,13,886,54,364,206,70,24,42,316,31,18,13,53,134,910
Chatham,PAC,0.264,0.349,0.36,0.709,207,317,49,17,433,11,184,140,28,21,16,270,19,8,3,53,10972,907
Chicago,MWC,0.306,0.398,0.418,0.8160000000000001,303,413,73,13,563,17,269,180,43,26,18,222,30,28,8,90,137,23119
Chris. Newport,C2C,0.279,0.387,0.413,0.8,301,391,71,12,579,31,254,217,49,29,39,315,16,8,1,55,139,15810
Claremont-M-S,SCIAC,0.321,0.408,0.451,0.859,351,444,70,6,625,33,305,133,91,27,2,214,29,15,4,58,142,910
Clark (MA),NEWMAC,0.254,0.38,0.389,0.769,240,282,44,15,431,25,213,167,70,18,16,275,14,20,4,61,145,890
Clarks Summit,CSAC,0.231,0.326,0.298,0.624,104,184,33,4,237,4,79,80,35,6,2,266,11,9,8,59,958,21062
Clarkson,Liberty League,0.288,0.395,0.428,0.823,219,297,58,9,442,23,193,140,54,16,20,191,25,4,5,19,146,24197
Coast Guard,NEWMAC,0.261,0.36,0.364,0.724,196,282,55,7,393,14,162,127,47,13,9,223,25,8,2,37,722,890
Cobleskill St.,NEAC,0.285,0.394,0.44,0.8340000000000001,283,352,76,16,544,28,234,179,59,24,10,255,21,13,13,114,30083,30071
Coe,American Rivers,0.248,0.349,0.341,0.69,233,346,47,11,475,20,189,170,56,21,40,317,18,26,7,96,150,864
Colby,NESCAC,0.307,0.406,0.448,0.8540000000000001,299,389,74,9,568,29,270,150,71,14,7,274,21,19,9,80,151,12817
Colby-Sawyer,Great Northeast,0.259,0.362,0.353,0.715,168,262,42,7,357,13,144,128,39,8,34,283,13,12,6,38,152,23257
Concordia (TX),ASC,0.253,0.372,0.322,0.694,194,304,39,11,386,7,171,175,56,9,37,277,30,9,0,60,24400,14825
Concordia Chicago,NACC,0.269,0.38,0.404,0.784,243,364,58,8,546,36,220,196,58,21,6,283,32,14,6,84,160,30097
Concordia Wisconsin,NACC,0.282,0.39,0.407,0.7969999999999999,257,379,76,14,546,21,238,211,37,18,9,266,23,10,3,44,1036,30097
Concordia-M'head,MIAC,0.284,0.377,0.372,0.749,169,280,46,8,366,8,156,131,23,12,15,197,26,4,1,24,161,882
