Player,School,Class,Pos,GP,GS,PA,AB,R,H,2B,3B,HR,RBI,TB,BB,HBP,K,DP,SF,SH,CS,SB,BA,OBP,SLG,OPS,RC,Conference
"McCarty, Ryan",Penn St.-Abington,Sr,INF,44,44,237,189,89,100,27,3,29,91,220,36,4,13,3,8,0,4,22,0.529,0.591,1.164,1.755,138.1,NEAC
"Caster, Kavi",Salisbury,Jr,OF,51,51,253,192,71,79,19,5,12,65,144,47,11,34,1,2,1,3,30,0.411,0.544,0.75,1.294,92.6,C2C
"Neaves, Avery",Lynchburg,Jr,OF,48,48,233,160,68,67,16,3,16,65,137,56,11,38,3,6,0,4,15,0.419,0.575,0.856,1.431,90.1,ODAC
"Simmons, Aaron",Wis.-Stevens Point,Sr,OF,52,52,263,207,74,77,12,3,22,66,161,49,4,24,2,3,0,0,14,0.372,0.494,0.778,1.272,89.4,WIAC
"Yenzi, Damian",Marietta,Sr,INF,51,51,257,214,76,90,31,1,12,71,159,29,10,20,2,3,1,2,14,0.421,0.504,0.743,1.2469999999999999,86.8,OAC
"Thomson, Jack",Lewis & Clark,Sr,INF,37,37,184,129,56,58,20,1,14,41,122,40,15,19,1,0,0,2,6,0.45,0.614,0.946,1.56,83.3,NWC
"Enos, Ryan",Oswego St.,Sr,INF,46,46,219,164,66,74,21,1,10,60,127,29,21,18,2,5,0,6,26,0.451,0.566,0.774,1.3399999999999999,82.7,SUNYAC
"Schroedle, Kyle",Crown (MN),Sr,C,45,44,197,169,54,72,13,2,23,71,158,20,5,33,1,3,0,1,10,0.426,0.492,0.935,1.427,82.6,UMAC
"Betts, Seth",Crown (MN),Sr,INF,45,44,201,169,66,75,14,3,12,46,131,21,11,39,2,0,0,3,42,0.444,0.532,0.775,1.307,81.8,UMAC
"Hanson, Jack",Gust. Adolphus,Sr,INF,42,42,195,167,59,82,13,3,14,56,143,20,4,28,4,4,0,1,6,0.491,0.544,0.856,1.4,80,MIAC
"Erves, Mckinley",LaGrange,Sr,OF,53,53,277,215,91,88,14,9,5,52,135,51,8,32,3,3,0,3,5,0.409,0.531,0.628,1.159,78.6,USA South
"Ruth, Joe",LaGrange,Jr,INF,53,53,271,247,76,109,22,2,10,83,165,15,3,14,7,6,0,3,10,0.441,0.469,0.668,1.137,76.8,USA South
"Broadhurst, Luke",Eastern Conn. St.,Sr,INF,46,45,214,165,60,67,12,4,13,50,126,37,9,34,0,1,2,1,12,0.406,0.533,0.764,1.2970000000000002,76.3,Little East
"Gbur, Ben",Wooster,Sr,OF,52,52,263,226,83,83,22,3,15,54,156,27,7,45,1,2,1,4,24,0.367,0.447,0.69,1.137,76.2,NCAC
"Metz, MJ",Trinity (TX),Sr,INF,51,51,255,207,67,79,26,3,12,58,147,36,6,61,4,4,2,5,23,0.382,0.478,0.71,1.188,76,SCAC
"Lombardo, Colin",Wm. Paterson,Sr,INF,46,46,231,162,68,65,14,6,8,43,115,32,32,18,0,3,2,3,8,0.401,0.563,0.71,1.273,75.5,NJAC
"Maday, Evan",Hope,Sr,OF,38,38,192,149,51,65,9,7,11,46,121,27,13,14,5,3,0,3,25,0.436,0.547,0.812,1.359,73.7,Michigan Intercol. Ath. Assn.
"Tammaro, Paul",Oswego St.,Sr,INF,46,46,221,180,68,80,16,2,7,26,121,19,15,23,3,2,5,3,27,0.444,0.528,0.672,1.2000000000000002,72.1,SUNYAC
"Ballstadt, Carter",Piedmont,Sr,UTIL,41,41,202,157,44,60,14,6,12,56,122,27,10,20,0,8,0,2,25,0.382,0.48,0.777,1.2570000000000001,70,USA South
"Greenly, Blake",Lancaster Bible,Jr,INF,38,37,182,147,54,63,13,2,10,27,110,26,9,14,0,0,0,3,28,0.429,0.538,0.748,1.286,69.8,NEAC
"Bean, Blake",Kalamazoo,Sr,OF,39,39,185,137,59,59,18,2,9,44,108,29,18,18,2,1,0,4,16,0.431,0.573,0.788,1.361,69.8,Michigan Intercol. Ath. Assn.
"Madera, Alex",Arcadia,Jr,INF,48,48,225,179,62,83,9,4,0,31,100,38,2,15,1,3,3,5,38,0.464,0.554,0.559,1.113,69.3,MAC Commonwealth
"Hill, Turner",Marietta,Sr,OF,48,48,250,208,75,90,19,2,1,51,116,31,7,6,2,3,1,7,33,0.433,0.514,0.558,1.072,69.1,OAC
"Studley, Jacob",Wheaton (MA),Sr,OF,43,43,208,177,49,73,19,1,11,45,127,24,5,25,0,2,0,1,12,0.412,0.49,0.718,1.208,68.9,NEWMAC
"Morgan, Davie",N.C. Wesleyan,Jr,INF,45,45,223,177,64,72,18,2,8,45,118,35,8,22,2,2,1,1,11,0.407,0.518,0.667,1.185,68.5,USA South
"Walton, Zachary",Wartburg,So,INF,46,46,203,149,49,59,14,1,13,58,114,39,13,35,5,2,0,0,3,0.396,0.547,0.765,1.312,67.9,American Rivers
"Steadman, Cole",Birmingham-So.,Sr,OF,51,51,246,203,62,78,15,0,12,55,129,33,8,39,5,1,1,2,15,0.384,0.486,0.635,1.121,67.6,SAA
"Garza, Ramon",Texas-Dallas,Jr,INF,50,50,247,217,65,84,18,2,14,58,148,22,6,31,5,2,0,1,2,0.387,0.453,0.682,1.135,67.5,ASC
"Best, Noah",Birmingham-So.,Jr,INF,51,51,242,205,56,76,12,1,14,65,132,23,9,40,3,4,1,3,29,0.371,0.448,0.644,1.092,66.6,SAA
"Swain, Chase",Penn St.-Abington,Fr,INF,44,43,229,200,76,81,17,0,9,45,125,23,6,26,2,0,0,1,18,0.405,0.48,0.625,1.105,66.3,NEAC
"Parks, Matt",Penn St. Harrisburg,Sr,INF,47,47,222,161,57,56,16,1,12,52,110,49,9,33,1,2,1,2,11,0.348,0.516,0.683,1.199,66.2,NEAC
"Shiota, Brandon",La Verne,Jr,OF,43,43,204,177,56,73,23,4,9,64,131,21,5,25,2,0,1,1,4,0.412,0.488,0.74,1.228,66.1,SCIAC
"Charon, Jacob",Lawrence,Sr,OF,37,37,171,140,50,56,7,1,20,61,125,23,6,26,3,2,0,2,15,0.4,0.497,0.893,1.3900000000000001,66.1,MWC
"Santerre, Cameron",Rhode Island Col.,So,OF,40,40,206,153,69,60,13,2,7,31,98,28,19,18,1,6,0,3,34,0.392,0.519,0.641,1.1600000000000001,65.5,Little East
"Mesenbrink, Josh",Rose-Hulman,Sr,INF,41,41,202,159,50,59,13,4,14,51,122,26,13,48,1,4,0,0,3,0.371,0.485,0.767,1.252,65.2,HCAC
"Szykowny, Charlie",Wis.-Stout,Sr,INF,40,40,189,161,51,64,13,4,18,55,139,22,5,16,2,1,0,7,6,0.398,0.481,0.863,1.3439999999999999,64.9,WIAC
"Hornung, Jackson",Skidmore,Jr,C,37,37,178,150,54,69,17,2,8,51,114,23,4,24,4,1,0,2,13,0.46,0.539,0.76,1.299,64.9,Liberty League
"Blinstrub, Jake",CMSV,Sr,OF,43,43,197,164,61,81,20,2,1,47,108,25,5,12,6,3,0,5,19,0.494,0.563,0.659,1.222,64.6,Skyline
"Carlsen, Matthew",Bethel (MN),So,OF,46,46,216,177,56,76,12,2,8,57,116,19,14,12,1,6,0,3,9,0.429,0.505,0.655,1.1600000000000001,64.4,MIAC
