Player,School,Class,App,GS,W,L,SV,IP,BF,H,R,ER,BB,HBP,IBB,SO,2B.A,3B.A,HR.A,GO,FO,WHIP,BAA,ERA,FIP,Conference
"Manning, Grant",Chapman,Jr,15,14,7,1,0,106.2,459,108,47,37,27,14,0,118,19,3,0,105,79,1.27,0.262,3.12,2.91,SCIAC
"Buehrle, Caleb",Millikin,Sr,16,14,8,4,1,98.2,428,96,49,40,29,15,0,84,17,2,6,93,102,1.27,0.253,3.65,4.27,CCIW
"Kiernan, Collin",Kean,Sr,13,12,9,2,0,98,398,84,31,26,23,9,0,100,15,1,3,95,76,1.09,0.236,2.39,3.36,NJAC
"Coleman, Baley",LaGrange,Jr,18,16,10,1,0,97.2,415,86,45,37,30,10,1,96,12,1,6,80,105,1.19,0.236,3.41,3.9,USA South
"Lambert, Kyle",Ithaca,Sr,15,15,7,3,0,96,405,77,41,34,37,11,1,96,16,0,5,80,92,1.19,0.223,3.19,3.78,Liberty League
"Oldham, Billy",Eastern Conn. St.,Jr,16,15,12,2,1,96,383,76,28,27,24,4,0,120,12,1,5,73,83,1.04,0.217,2.53,3.03,Little East
"Carter, Derrick",N.C. Wesleyan,Sr,14,14,8,3,0,95.1,419,90,41,28,38,11,0,102,16,1,4,100,68,1.35,0.246,2.64,3.48,USA South
"Godkin, Cole",East Tex. Baptist,Sr,15,14,7,2,0,95.1,424,86,50,38,39,17,0,90,15,1,11,89,94,1.31,0.24,3.59,4.88,ASC
"Gronert, Tyler",MSOE,Sr,14,13,11,3,0,92.2,377,60,30,23,15,18,0,97,8,1,3,89,86,0.81,0.178,2.23,3.64,NACC
"Alch, Tucker",Catholic,Jr,15,14,10,3,0,92.1,401,94,47,34,13,13,2,117,17,0,2,106,41,1.16,0.254,3.31,2.97,Landmark
"Valentine, Trent",Marietta,Jr,18,16,14,1,0,91.2,357,73,21,20,25,3,0,74,19,2,1,107,72,1.07,0.223,1.96,3.36,OAC
"Adkins, Jimmy",Salisbury,Sr,17,10,7,2,3,91.1,356,68,23,19,13,7,1,87,10,3,1,101,76,0.89,0.204,1.87,3.23,C2C
"Chavana, Joseph",Trinity (TX),So,19,9,10,2,2,90.2,390,93,50,42,20,8,0,80,11,2,7,94,83,1.25,0.266,4.17,4.23,SCAC
"Rodriguez, Ryan",Wis.-Superior,Sr,14,13,7,4,0,90.1,368,84,35,30,12,1,0,102,16,3,5,65,94,1.07,0.24,2.99,3.23,UMAC
"Brooks, Dalton",LaGrange,So,16,16,6,1,0,90,398,75,50,46,48,16,0,83,17,1,3,75,95,1.37,0.231,4.6,3.85,USA South
