"School","Location","Conference","W","L","T","WinPct","SOS","RPI"
"Eastern Conn. St.","Willimantic, CT","LEC",49,3,0,0.942,56.36,42.51
"Marietta","Marietta, OH","OAC",44,7,0,0.863,57.98,43.7
"LaGrange","LaGrange, GA","CSS",44,9,0,0.83,56.65,42.7
"Webster","St. Louis, MO","SLIAC",38,8,0,0.826,53.42,40.27
"Arcadia","Glenside, PA","MAC Freedom",40,9,0,0.816,56.51,42.59
"Wis.-Stevens Point","Stevens Point, WI","WIAC",42,10,0,0.808,56.77,42.78
"Birmingham-So.","Birmingham, AL","SAA",41,10,0,0.804,54.27,40.9
"Endicott","Beverly, MA","CCC",40,10,0,0.8,56,42.2
"Wash. & Jeff.","Washington, PA","PAC",37,10,0,0.787,52.78,39.78
"Rowan","Glassboro, NJ","NJAC",33,10,0,0.767,58.03,43.72
"Aurora","Aurora, IL","NACC",36,11,0,0.766,53.57,40.37
"Wis.-Whitewater","Whitewater, WI","WIAC",36,11,0,0.766,56.89,42.86
"Salisbury","Salisbury, MD","C2C",39,12,0,0.765,60.33,45.44
"Bethel (MN)","Arden Hills, MN","MIAC",35,11,0,0.761,52.67,39.7
"Denison","Granville, OH","NCAC",35,11,0,0.761,57.78,43.53
"Lynchburg","Lynchburg, VA","ODAC",36,12,0,0.75,55.76,42.01
"Penn St.-Abington","Abington, PA","UEC",33,11,0,0.75,50.97,38.42
"SUNY Brockport","Brockport, NY","SUNYAC",33,11,0,0.75,54.7,41.21
"Shenandoah","Winchester, VA","ODAC",37,12,1,0.75,57.15,43.05
"SUNY Cortland","Cortland, NY","SUNYAC",35,12,0,0.745,58.17,43.82
"Trinity (TX)","San Antonio, TX","SCAC",38,13,0,0.745,56.25,42.38
"Loras","Dubuque, IA","American Rivers",32,11,0,0.744,50.91,38.37
"Baldwin Wallace","Berea, OH","OAC",37,13,0,0.74,56.8,42.78
"Augustana (IL)","Rock Island, IL","CCIW",34,12,0,0.739,51.63,38.91
"Cabrini","Radnor, PA","AEC",31,11,0,0.738,53.23,40.11
"Rhode Island Col.","Providence, RI","LEC",29,10,1,0.738,53.11,40.02
"Wilson","Chambersburg, PA","CSAC",31,11,0,0.738,48.21,36.34
"Hope","Holland, MI","MIAA",28,10,0,0.737,49.28,37.15
"Wheaton (MA)","Norton, MA","NEWMAC",32,12,0,0.727,56.16,42.3
"East Tex. Baptist","Marshall, TX","ASC",33,13,0,0.717,51.16,38.55
"Oswego St.","Oswego, NY","SUNYAC",33,13,0,0.717,60.71,45.71
"Chapman","Orange, CA","SCIAC",35,14,0,0.714,53.41,40.23
"North Central (IL)","Naperville, IL","CCIW",35,14,0,0.714,53.57,40.35
"La Verne","La Verne, CA","SCIAC",30,12,1,0.709,50.91,38.36
"Ithaca","Ithaca, NY","Liberty League",34,14,0,0.708,55.54,41.83
"Kean","Union, NJ","NJAC",31,13,0,0.705,53.4,40.23
"Mitchell","New London, CT","NECC",31,13,0,0.705,53.7,40.45
"Montclair St.","Upper Montclair, NJ","NJAC",31,13,0,0.705,55.07,41.48
"Rochester (NY)","Rochester, NY","Liberty League",31,13,0,0.705,55.06,41.47
"Roger Williams","Bristol, RI","CCC",27,11,2,0.7,55.93,42.12
"Pomona-Pitzer","Claremont, CA","SCIAC",32,14,0,0.696,53.14,40.03
"Scranton","Scranton, PA","LAND",28,12,1,0.695,51.02,38.44
"Wittenberg","Springfield, OH","NCAC",27,12,0,0.692,53.09,39.99
"Middlebury","Middlebury, VT","NESCAC",31,14,0,0.689,54.26,40.87
"Salve Regina","Newport, RI","CCC",30,13,2,0.689,57.8,43.52
"Randolph-Macon","Ashland, VA","ODAC",26,12,0,0.684,54.33,40.92
"Rose-Hulman","Terre Haute, IN","HCAC",28,13,0,0.683,47.33,35.67
"Catholic","Washington, DC","LAND",34,16,0,0.68,56.17,42.3
"Kalamazoo","Kalamazoo, MI","MIAA",27,13,0,0.675,48.96,36.89
"Franklin","Franklin, IN","HCAC",29,14,0,0.674,49.04,36.95
"Immaculata","Immaculata, PA","AEC",29,14,0,0.674,55.08,41.48
"Wm. Paterson","Wayne, NJ","NJAC",31,15,0,0.674,57.95,43.63
"Texas-Dallas","Richardson, TX","ASC",35,17,0,0.673,53.6,40.37
"Wooster","Wooster, OH","NCAC",35,17,0,0.673,58.96,44.39
"Benedictine (IL)","Lisle, IL","NACC",26,13,0,0.667,52.24,39.35
"Bridgewater St.","Bridgewater, MA","MASCAC",30,15,0,0.667,49.45,37.25
"Crown (MN)","St. Bonifacius, MN","UMAC",30,15,0,0.667,47.9,36.09
"Earlham","Richmond, IN","HCAC",26,13,0,0.667,48.23,36.34
"Grove City","Grove City, PA","PAC",28,14,0,0.667,49.77,37.49
"Gust. Adolphus","St. Peter, MN","MIAC",28,14,0,0.667,52.98,39.9
"Lawrence","Appleton, WI","MWC",26,13,0,0.667,45.86,34.56
"Texas Lutheran","Seguin, TX","SCAC",28,14,0,0.667,52.05,39.21
"Tufts","Medford, MA","NESCAC",24,12,0,0.667,53.33,40.16
"St. John Fisher","Pittsford, NY","E8",31,16,0,0.66,55.06,41.46
"Buena Vista","Storm Lake, IA","American Rivers",27,14,0,0.659,53.06,39.96
"Chris. Newport","Newport News, VA","C2C",27,14,0,0.659,58.84,44.29
"Hendrix","Conway, AR","SAA",29,15,0,0.659,50.96,38.38
"Marymount (VA)","Arlington, VA","AEC",29,15,0,0.659,53.08,39.98
"Emory","Atlanta, GA","UAA",25,13,0,0.658,56.21,42.32
"Cal Lutheran","Thousand Oaks, CA","SCIAC",30,16,0,0.652,53.44,40.24
"Lebanon Valley","Annville, PA","MACC",30,16,0,0.652,52.36,39.43
"Colby","Waterville, ME","NESCAC",24,13,0,0.649,50.63,38.13
"Skidmore","Saratoga Springs, NY","Liberty League",23,12,2,0.649,49.39,37.21
