School,Conference,IP,H,R,ER,BB,HBP,IBB,SO,2B.A,3B.A,HR.A,GO,FO,Bk,K/9,ERA
Adrian,Michigan Intercol. Ath. Assn.,340,383,284,233,141,70,5,249,79,10,28,368,355,1,6.59,6.17
Albertus Magnus,Great Northeast,246,319,276,212,144,77,0,196,55,9,21,210,305,8,7.17,7.76
Albion,Michigan Intercol. Ath. Assn.,321.1,372,284,231,202,78,0,255,73,12,21,281,350,5,7.15,6.47
Albright,MAC Commonwealth,286,468,414,346,228,67,3,189,102,16,21,265,367,5,5.95,10.89
Alfred St.,AMCC,345,399,268,230,167,67,8,263,99,27,12,326,390,5,6.86,6
Allegheny,NCAC,310.1,313,201,159,136,45,0,307,67,5,30,228,347,5,8.91,4.61
Alma,Michigan Intercol. Ath. Assn.,313.2,427,328,262,174,64,3,231,103,12,22,301,357,6,6.64,7.52
Alvernia,MAC Commonwealth,366.1,413,244,190,156,47,4,225,73,5,19,378,420,10,5.53,4.67
Amherst,NESCAC,286.1,355,284,240,144,61,1,205,68,8,37,273,338,7,6.45,7.54
Anderson (IN),HCAC,354,423,302,260,205,59,5,317,80,25,34,302,382,11,8.06,6.61
Anna Maria,Great Northeast,304,284,258,207,186,90,6,323,61,5,18,273,271,3,9.56,6.13
Arcadia,MAC Commonwealth,407.2,439,243,208,154,54,5,331,71,6,30,380,453,8,7.32,4.59
Augsburg,MIAC,284.2,415,286,244,121,29,0,227,86,16,31,279,295,5,7.19,7.71
Augustana (IL),CCIW,403,398,226,162,183,21,2,476,70,8,17,365,321,12,10.63,3.62
Aurora,NACC,396.2,441,244,205,162,39,5,365,82,12,28,363,398,2,8.29,4.65
Austin,SCAC,282.1,414,377,284,194,62,3,188,76,7,26,272,344,15,6,9.05
Averett,USA South,336,411,301,273,191,61,3,238,79,19,20,281,443,5,6.38,7.31
Babson,NEWMAC,341.1,354,170,155,77,36,2,280,68,11,22,318,378,2,7.39,4.09
Baldwin Wallace,OAC,429,416,245,214,240,51,1,441,74,4,36,355,418,8,9.25,4.49
Bard,Liberty League,264,311,233,193,147,42,2,229,66,17,18,264,248,9,7.81,6.58
Baruch,CUNYAC,188,225,176,128,104,36,4,187,40,14,9,162,175,0,8.95,6.13
Bates,NESCAC,256.2,354,283,241,158,57,4,187,75,15,30,274,265,3,6.57,8.45
Belhaven,ASC,364,395,241,192,130,42,5,298,80,14,24,318,424,4,7.37,4.75
Beloit,MWC,331.1,412,259,206,132,38,5,215,93,5,32,338,388,3,5.84,5.6
Benedictine (IL),NACC,328.1,289,168,143,145,46,5,375,63,6,19,271,288,3,10.29,3.92
Berea,USA South,290.1,521,514,439,255,111,2,183,132,22,24,239,395,8,5.68,13.61
Berry,SAA,345.2,434,288,225,139,54,3,227,65,10,24,334,425,2,5.92,5.86
Bethany (WV),PAC,304.1,390,245,187,116,29,2,233,66,10,16,294,340,3,6.9,5.53
Bethany Lutheran,UMAC,282.1,349,233,186,127,40,2,292,68,12,26,309,207,2,9.32,5.93
Bethel (MN),MIAC,365,365,173,148,89,47,2,287,58,4,24,350,404,6,7.08,3.65
