"","school","conference","school_id","year","division","conference_id"
"1","Averett","USA South",44,2019,3,842
"2","Berea","USA South",30171,2019,3,842
"3","Berry","SAA",973,2019,3,30169
"4","Birmingham-So.","SAA",28593,2019,3,30169
"5","Brevard","USA South",30094,2019,3,842
"6","Bridgewater (VA)","ODAC",75,2019,3,903
"7","Centre","SAA",132,2019,3,30169
"8","Chris. Newport","CAC",139,2019,3,15810
"9","Covenant","USA South",30111,2019,3,842
"10","East. Mennonite","ODAC",203,2019,3,903
"11","Emory & Henry","ODAC",216,2019,3,903
"12","Emory","UAA",217,2019,3,1471
"13","Ferrum","ODAC",225,2019,3,903
"14","Gallaudet","NEAC",245,2019,3,30071
"15","Greensboro","USA South",263,2019,3,842
"16","Guilford","ODAC",1112,2019,3,903
"17","Hampden-Sydney","ODAC",269,2019,3,903
"18","Hendrix","SAA",1124,2019,3,30169
"19","Huntingdon","USA South",1130,2019,3,842
"20","LaGrange","USA South",1162,2019,3,842
"21","Lynchburg","ODAC",374,2019,3,903
"22","Mary Washington","CAC",390,2019,3,15810
"23","Marymount (VA)","Atlantic East",394,2019,3,30233
"24","Maryville (TN)","USA South",396,2019,3,842
"25","Methodist","USA South",412,2019,3,842
"26","Millsaps","SAA",426,2019,3,30169
"27","N.C. Wesleyan","USA South",491,2019,3,842
"28","Oglethorpe","SAA",2713,2019,3,30169
"29","Pfeiffer","USA South",542,2019,3,842
"30","Piedmont","USA South",21830,2019,3,842
"31","Randolph-Macon","ODAC",565,2019,3,903
"32","Rhodes","SAA",573,2019,3,30169
"33","Roanoke","ODAC",578,2019,3,903
"34","Salisbury","CAC",622,2019,3,15810
"35","Sewanee","SAA",652,2019,3,30169
"36","Shenandoah","ODAC",637,2019,3,903
"37","Southern Va.","CAC",30164,2019,3,15810
"38","St. Mary's (MD)","CAC",611,2019,3,15810
"39","Va. Wesleyan","ODAC",745,2019,3,903
"40","Wash. & Lee","ODAC",752,2019,3,903
"41","Wesley","Atlantic East",763,2019,3,30233
"42","William Peace","USA South",17094,2019,3,842
"43","York (PA)","CAC",815,2019,3,15810
"44","Augustana (IL)","CCIW",40,2019,3,836
"45","Beloit","Midwest Conference",53,2019,3,23119
"46","Blackburn","SLIAC",64,2019,3,12974
"47","Buena Vista","American Rivers",84,2019,3,864
"48","Carroll (WI)","CCIW",120,2019,3,836
"49","Carthage","CCIW",121,2019,3,836
"50","Central (IA)","American Rivers",126,2019,3,864
"51","Chicago","Midwest Conference",137,2019,3,23119
"52","Coe","American Rivers",150,2019,3,864
"53","Cornell College","Midwest Conference",166,2019,3,23119
"54","Dubuque","American Rivers",192,2019,3,864
"55","Elmhurst","CCIW",212,2019,3,836
"56","Eureka","SLIAC",218,2019,3,12974
"57","Fontbonne","SLIAC",11538,2019,3,12974
"58","Greenville","SLIAC",1111,2019,3,12974
"59","Grinnell","Midwest Conference",264,2019,3,23119
"60","Illinois Col.","Midwest Conference",297,2019,3,23119
"61","Ill. Wesleyan","CCIW",300,2019,3,836
"62","Iowa Wesleyan","SLIAC",30173,2019,3,12974
"63","Knox","Midwest Conference",337,2019,3,23119
"64","Lawrence","Midwest Conference",348,2019,3,23119
"65","Loras","American Rivers",364,2019,3,864
"66","Luther","American Rivers",372,2019,3,864
"67","MacMurray","SLIAC",377,2019,3,12974
"68","Millikin","CCIW",424,2019,3,836
"69","Monmouth (IL)","Midwest Conference",438,2019,3,23119
"70","Neb. Wesleyan","American Rivers",462,2019,3,864
"71","North Central (IL)","CCIW",492,2019,3,836
"72","North Park","CCIW",496,2019,3,836
"73","Principia","SLIAC",555,2019,3,12974
"74","Ripon","Midwest Conference",577,2019,3,23119
"75","Simpson","American Rivers",641,2019,3,864
"76","Spalding","SLIAC",23260,2019,3,12974
"77","St. Norbert","Midwest Conference",614,2019,3,23119
"78","Wartburg","American Rivers",750,2019,3,864
"79","WashU","UAA",755,2019,3,1471
"80","Webster","SLIAC",759,2019,3,12974
"81","Westminster (MO)","SLIAC",1450,2019,3,12974
"82","Wheaton (IL)","CCIW",778,2019,3,836
"83","Albright","MAC Commonwealth",16,2019,3,28744
"84","Alvernia","MAC Commonwealth",938,2019,3,28744
"85","Arcadia","MAC Commonwealth",966,2019,3,28744
"86","Cabrini","Atlantic East",88,2019,3,30233
"87","Cairn","CSAC",1305,2019,3,21062
"88","Catholic","Landmark",124,2019,3,30101
"89","Centenary (NJ)","CSAC",12884,2019,3,21062
"90","Clarks Summit","CSAC",958,2019,3,21062
"91","Delaware Valley","MAC Freedom",179,2019,3,28745
"92","DeSales","MAC Freedom",20,2019,3,28745
"93","Dickinson","Centennial",185,2019,3,9683
"94","Drew","Landmark",190,2019,3,30101
"95","Eastern","MAC Freedom",8968,2019,3,28745
"96","Elizabethtown","Landmark",211,2019,3,30101
"97","FDU-Florham","MAC Freedom",221,2019,3,28745
"98","Franklin & Marshall","Centennial",239,2019,3,9683
"99","Gettysburg","Centennial",258,2019,3,9683
"100","Gwynedd Mercy","Atlantic East",12399,2019,3,30233
"101","Haverford","Centennial",276,2019,3,9683
"102","Hood","MAC Commonwealth",8404,2019,3,28744
"103","Immaculata","Atlantic East",303,2019,3,30233
"104","Johns Hopkins","Centennial",322,2019,3,9683
