"opponent","State","Enrollment"
"Averett","VA",752
"Berea","KY",1612
"Berry","GA",2003
"Birmingham-So.","AL",1385
"Brevard","NC",729
"Bridgewater (VA)","VA",1482
"Centre","KY",1193
"Chris. Newport","VA",4583
"Covenant","GA",1160
"East. Mennonite","VA",941
"Emory & Henry","VA",906
"Emory","GA",7483
"Ferrum","VA",1370
"Gallaudet","DC",927
"Greensboro","NC",923
"Guilford","NC",2166
"Hampden-Sydney","VA",1120
"Hendrix","AR",1402
"Huntingdon","AL",846
"LaGrange","GA",765
"Lynchburg","VA",1839
"Mary Washington","VA",3573
"Marymount (VA)","VA",1684
"Maryville (TN)","TN",1097
"Methodist","NC",1648
"Millsaps","MS",989
"N.C. Wesleyan","NC",1107
"Oglethorpe","GA",784
"Pfeiffer","NC",1961
"Piedmont","GA",845
"Randolph-Macon","VA",1230
"Rhodes","TN",1652
"Roanoke","VA",1773
"Salisbury","MD",6657
"Sewanee","TN",1460
"Shenandoah","VA",1720
"Southern Va.","VA",1876
"St. Mary's (MD)","MD",1648
"Va. Wesleyan","VA",1057
"Wash. & Lee","VA",1749
"Wesley","DE",1350
"William Peace","NC",751
"York (PA)","PA",4118
"Augustana (IL)","IL",2513
"Beloit","WI",1288
"Blackburn","IL",604
"Buena Vista","IA",1999
"Carroll (WI)","WI",2493
"Carthage","WI",2374
"Central (IA)","IA",1426
"Chicago","IL",4955
"Coe","IA",1249
"Cornell College","IA",1103
"Dubuque","IA",1544
"Elmhurst","IL",2748
"Eureka","IL",699
"Fontbonne","MO",1528
"Greenville","IL",1392
"Grinnell","IA",1636
"Illinois Col.","IL",953
"Ill. Wesleyan","IL",2113
"Iowa Wesleyan","IA",530
"Knox","IL",1355
"Lawrence","WI",1415
"Loras","IA",1462
"Luther","IA",2347
"MacMurray","IL",534
"Millikin","IL",2118
"Monmouth (IL)","IL",1314
"Neb. Wesleyan","NE",1586
"North Central (IL)","IL",2167
"North Park","IL",1814
"Principia","IL",545
"Ripon","WI",1036
"Simpson","IA",1474
"Spalding","KY",985
"St. Norbert","WI",2019
"Wartburg","IA",1729
"WashU","MO",6003
"Webster","MO",2531
"Westminster (MO)","MO",976
"Wheaton (IL)","IL",2282
"Albright","PA",2163
"Alvernia","PA",1558
"Arcadia","PA",1866
"Cabrini","PA",1678
"Cairn","PA",942
"Catholic","DC",3196
"Centenary (NJ)","NJ",1976
"Clarks Summit","PA",512
"Delaware Valley","PA",1634
"DeSales","PA",1664
"Dickinson","PA",2353
"Drew","NJ",1666
"Eastern","PA",2276
"Elizabethtown","PA",1947
"FDU-Florham","NJ",2258
"Franklin & Marshall","PA",2110
"Gettysburg","PA",2450
"Gwynedd Mercy","PA",1238
"Haverford","PA",1147
"Hood","MD",1325
"Immaculata","PA",1212
"Johns Hopkins","MD",5385
"Juniata","PA",1397
"Kean","NJ",8475
"Keystone","PA",1387
"King's (PA)","PA",1994
"Lancaster Bible","PA",558
"Lebanon Valley","PA",1592
"Manhattanville","NY",1528
"Marywood","PA",1668
"McDaniel","MD",1683
"Messiah","PA",2826
"Misericordia","PA",1330
"Montclair St.","NJ",11082
"Moravian","PA",1561
"Muhlenberg","PA",2285
"Neumann","PA",1853
"New Jersey City","NJ",4103
"Penn College","PA",4766
"Penn St.-Abington","PA",2647
"Penn St.-Berks","PA",1908
"Penn St. Harrisburg","PA",1918
"Ramapo","NJ",5150
"Rowan","NJ",7821
"Rutgers-Camden","NJ",5350
"Rutgers-Newark","NJ",4425
"Scranton","PA",3732
"Stevenson","MD",2060
"Stockton","NJ",6950
"Susquehanna","PA",2055
"Swarthmore","PA",1466
"TCNJ","NJ",6040
"Ursinus","PA",1653
"Valley Forge","PA",1040
"Washington Col.","MD",1258
"Widener","PA",2632
"Wilkes","PA",2082
"Wm. Paterson","NJ",7220
"Wilson","PA",481
"Adrian","MI",1420
"Albion","MI",1940
"Alfred St.","NY",3277
"Allegheny","PA",2080
"Alma","MI",1331
"Anderson (IN)","IN",1974
"Baldwin Wallace","OH",3101
"Bethany (WV)","WV",721
"Bluffton","OH",933
"Calvin","MI",4075
"Capital","OH",2329
"CWRU","OH",4196
"Chatham","PA",679
