Player,AA,Year,School,Class,Pos,AVG,OPS,GP.GS,AB,R,H,X2B,X3B,HR,RBI,TB,SLG,BB,HBP,K,DP,OBP,SF,SH,CS,SB,RC,Conference
"Bryden, Daytona",1,2018,Wis.-Whitewater,Sr,OF,0.479,1.401,41-41,165,75,79,17,9,9,41,141,0.855,23,4,18,2,0.546,2,2,2,29,86,WIAC
"Welk, Toby",1,2018,Penn St.-Berks,Jr,INF,0.492,1.624,36-36,118,52,58,14,5,13,57,121,1.025,28,8,6,1,0.599,3,3,2,4,77.1,NEAC
"Aldridge, Cal",1,2018,Wis.-Whitewater,Jr,INF,0.451,1.387,40-40,153,53,69,19,1,15,52,135,0.882,16,9,20,0,0.505,8,0,1,4,73.9,WIAC
"Parent, Austin",1,2018,Pitt.-Bradford,Jr,C,0.496,1.532,33-33,119,47,59,17,3,9,48,109,0.916,34,5,13,1,0.616,1,0,1,4,73.5,AMCC
"Wielansky, Michael",1,2018,Wooster,Jr,INF,0.401,1.173,50-50,197,76,79,20,7,6,50,131,0.665,40,5,17,3,0.508,2,2,5,17,72.4,NCAC
"Wilson, Garrett",2,2018,Spalding,So,OF,0.47,1.214,43-43,183,67,86,15,8,3,28,126,0.689,14,7,23,0,0.525,0,4,7,32,72.2,SLIAC
"Woodard, Seth",3,2018,Chris. Newport,Jr,INF,0.386,1.216,47-47,176,57,68,17,0,13,65,124,0.705,36,13,31,1,0.511,4,0,0,4,71.4,CAC
"Sada, Scott",0,2018,Penn St.-Behrend,Jr,INF,0.459,1.291,42-42,159,57,73,21,5,6,47,122,0.767,18,7,21,3,0.524,3,0,1,16,69.6,AMCC
"Schaefer, Riley",1,2018,Texas Lutheran,Sr,INF,0.413,1.071,54-54,230,63,95,16,3,8,49,141,0.613,20,4,25,1,0.458,6,2,6,21,69.4,SCAC
"Myers, Grant",5,2018,Monmouth (IL),Sr,OF,0.453,1.298,43-43,159,48,72,12,4,10,54,122,0.767,26,4,16,0,0.531,3,0,4,7,68.9,Midwest Conference
"Gardiner, Brendan",5,2018,Redlands,Sr,INF,0.405,1.139,46-46,173,57,70,17,4,4,45,107,0.618,41,3,32,1,0.521,2,6,2,28,67.7,SCIAC
"Harwood, Dan",2,2018,Wooster,So,OF,0.383,1.162,49-48,193,59,74,17,1,14,72,135,0.699,23,8,20,2,0.463,3,0,0,9,67.7,NCAC
"Mateja, Michael",2,2018,North Central (IL),Jr,OF,0.444,1.225,42-42,162,54,72,20,4,4,38,112,0.691,27,10,19,3,0.534,5,0,2,11,66.2,CCIW
"Guida, Sean",2,2018,Roanoke,Sr,C,0.403,1.204,42-42,176,55,71,17,7,7,40,123,0.699,31,6,23,0,0.505,1,1,4,5,65.9,ODAC
"Johnson, Tanner",5,2018,Denison,Sr,OF,0.378,1.187,44-44,172,57,65,14,5,10,53,119,0.692,35,8,31,4,0.495,3,3,5,25,65.5,NCAC
"Taw, Dudley",0,2018,Baldwin Wallace,So,OF,0.385,1.181,45-45,182,47,70,16,1,14,59,130,0.714,23,5,38,2,0.467,0,0,4,22,65.2,OAC
