"Player","School","Class","Pos","AVG","OPS","GP.GS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","K","DP","OBP","SF","SH","CS","SB","RC","Conference","Year"
"Williams, Bret","Penn St. Harrisburg","Jr","OF",0.431,1.303,"49-49",204,75,88,17,1,18,70,161,0.789,32,7,40,3,0.514,4,0,3,7,86.6,"CAC",2019
"Welk, Toby","Penn St.-Berks","Sr","INF",0.483,1.493,"39-39",145,56,70,17,5,13,58,136,0.938,23,8,6,4,0.555,6,1,4,11,78,"NEAC",2019
"Woods, Matt","Rowan","Sr","OF",0.421,1.248,"44-44",183,61,77,17,3,12,47,136,0.743,30,3,18,2,0.505,2,1,4,16,73.4,"NJAC",2019
"Aldridge, Cal","Wis.-Whitewater","Sr","INF",0.399,1.289,"45-45",163,56,65,12,1,16,45,127,0.779,27,13,22,2,0.51,3,0,0,11,72.3,"WIAC",2019
"Herzog, Nick","UMass Boston","Sr","OF",0.357,1.128,"51-51",210,59,75,14,12,11,57,146,0.695,26,5,39,4,0.433,4,0,2,23,68.6,"Little East",2019
"Levitt, Charles","Swarthmore","Sr","OF",0.428,1.207,"39-39",159,54,68,15,5,5,37,108,0.679,22,13,25,0,0.528,1,0,2,27,68.2,"Centennial",2019
"Mercado, Jose","Concordia Chicago","Sr","INF",0.366,1.057,"52-52",191,70,70,12,4,6,29,108,0.565,20,29,20,3,0.492,2,1,3,46,68,"NACC",2019
"Sides, Nathan","Alvernia","Sr","INF",0.453,1.139,"46-46",190,59,86,15,5,3,49,120,0.632,21,1,14,1,0.507,1,1,1,17,67.2,"MAC Commonwealth",2019
"Goulet, Josh","Plymouth St.","Sr","OF",0.41,1.298,"37-37",144,47,59,16,1,13,47,116,0.806,20,8,19,1,0.492,5,0,1,24,66.4,"Little East",2019
"Mumme, Alex","Ursinus","Jr","INF",0.422,1.327,"36-36",154,60,65,21,1,14,45,130,0.844,18,1,37,0,0.483,1,0,0,4,66.4,"Centennial",2019
"Woodard, Seth","Chris. Newport","Sr","INF",0.323,1.15,"45-45",161,64,52,14,1,11,61,101,0.627,59,13,36,1,0.523,4,1,0,11,66.2,"CAC",2019
"Van Houten, Travis","Penn St. Harrisburg","Sr","UTIL",0.383,1.16,"49-49",193,49,74,12,5,12,71,132,0.684,35,2,26,1,0.476,3,1,5,3,65.2,"CAC",2019
"Payne, Noah","Howard Payne","Sr","INF",0.401,1.276,"40-39",142,50,57,10,12,6,44,109,0.768,19,15,23,0,0.508,3,0,1,18,64.7,"ASC",2019
"Combs, Casey","East Tex. Baptist","Sr","C",0.417,1.214,"44-44",163,46,68,10,1,13,48,119,0.73,19,6,28,2,0.484,4,1,1,19,64.3,"ASC",2019
"Lahn, Max","Denison","So","INF",0.439,1.105,"48-48",171,53,75,17,1,1,38,97,0.567,39,6,14,2,0.538,7,7,1,11,61.9,"NCAC",2019
"Brandon, Connor","Concordia Chicago","Sr","OF",0.37,1.156,"49-48",181,45,67,15,4,12,65,126,0.696,22,9,33,1,0.46,1,0,3,10,61.7,"NACC",2019
"Harding, Connor","Scranton","So","INF",0.464,1.212,"39-39",151,46,70,8,9,3,34,105,0.695,20,3,14,0,0.517,6,0,3,14,60.7,"Landmark",2019
"Telli, Jacob","Rhodes","Sr","C",0.387,1.155,"45-44",142,44,55,10,6,2,36,83,0.585,48,15,24,3,0.57,2,1,3,22,60.5,"SAA",2019
