Player,School,AA,Class,ERA,WHIP,WL,SV,IP,H,R,ER,BB,SO,x2B,x3B,HR,BF,BAA,WP,HBP,GO,FO,IBB,FIP,Conference,Year
"Hernandez, Jonathan",Chapman,0,Sr,2.85,1.1,Oct-00,0,113.2,93,42,36,32,96,17,4,3,463,0.228,6,9,123,102,0,3.25,SCIAC,2019
"Peck, Tyler",Chapman,1,Sr,2.22,1.15,4-Aug,0,113.2,93,40,28,37,155,11,3,2,474,0.22,21,5,120,53,2,2.05,SCIAC,2019
"Mulhearn, Matt",Webster,5,Jr,2.13,0.93,2-Dec,0,105.2,87,27,25,11,102,18,2,3,409,0.228,4,8,91,101,1,3.05,SLIAC,2019
"Craven, Travis",Whitman,0,Jr,2.99,1.32,6-Aug,0,102.1,98,39,34,37,81,17,3,6,434,0.253,5,1,115,89,1,3.6,NWC,2019
"Brown, Casey",Pacific (OR),0,Sr,2.14,1.03,2-Jul,0,101,87,30,24,17,102,16,2,4,413,0.226,2,3,102,89,0,2.94,NWC,2019
"Biggs, Hank",Mary Washington,0,Sr,3.68,1.38,5-Aug,0,100.1,109,47,41,29,79,10,2,11,444,0.272,8,7,71,139,0,4.42,CAC,2019
"Collins, Mason",Chapman,0,Sr,3.52,1.35,4-Sep,0,99.2,95,44,39,39,87,17,3,1,433,0.259,11,16,92,98,1,3.26,SCIAC,2019
"Dwyer, Clayton",Salisbury,0,Jr,3.74,1.01,2-Aug,2,98.2,89,48,41,10,84,18,2,14,411,0.234,0,13,110,94,1,4.93,CAC,2019
"Hopman, Tyler",Kean,0,Sr,2.75,1.08,6-May,0,98.1,79,40,30,27,56,13,0,6,404,0.227,3,15,125,93,2,4.53,NJAC,2019
"McCarthy, Nolan",Occidental,2,Jr,1.74,0.91,3-Sep,2,98,68,25,19,21,98,19,1,3,392,0.189,4,5,106,81,4,3.03,SCIAC,2019
"Klinchock, Robert",Shenandoah,0,Sr,4.27,1.46,6-Jul,0,97,109,53,46,33,71,24,1,5,431,0.284,10,4,132,71,1,3.72,ODAC,2019
"Williams, Matthew",Concordia (TX),5,Jr,3.26,1.14,2-Dec,0,96.2,90,41,35,20,93,16,2,5,398,0.249,7,4,91,94,1,3.26,ASC,2019
"Bini, John",Grove City,0,Sr,3.6,1.41,2-Jul,0,95,99,43,38,35,49,11,3,4,404,0.277,15,3,123,87,0,3.97,PAC,2019
"Kueter, Chase",Dubuque,0,Sr,2.95,1.1,5-Aug,0,94.2,88,42,31,16,116,17,3,2,399,0.241,6,6,111,55,0,2.37,American Rivers,2019
"Genaro, Michael",Babson,3,Sr,1.82,0.9,3-Aug,0,94,78,25,19,7,70,8,0,4,372,0.218,2,1,76,128,0,3.45,NEWMAC,2019
"Summers, Luke",Fontbonne,1,Jr,0.67,0.79,2-Nov,0,94,51,12,7,23,127,7,2,3,359,0.156,6,6,69,71,0,2.26,SLIAC,2019
"Cook, Jake",Birmingham-So.,0,Sr,3.91,1.4,2-Jul,0,92,92,48,40,37,72,14,2,6,411,0.265,2,15,107,79,0,4.13,SAA,2019
"Hodgson, Kyle",Framingham St.,0,Sr,3.04,1.09,2-Aug,0,91.2,90,33,31,9,80,15,1,7,370,0.254,2,0,78,110,0,3.61,MASCAC,2019
